NOME_PRODUTO;PRINCIPIO_ATIVO;EMPRESA;CLASSE_TERAPEUTICA;NUMERO_REGISTRO
CLORIDRATO DE VENLAFAXINA;CLORIDRATO DE VENLAFAXINA;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTIDEPRESSIVOS;183260132
CLORIDRATO DE VENLAFAXINA (PORT. 344/98 L-C1);CLORIDRATO DE VENLAFAXINA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIDEPRESSIVOS;105730604
CLORIDRATO DE VERAPAMIL;CLORIDRATO DE VERAPAMIL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTIANGINOSOS E VASODILATADORES;103700373
CLORIDRATO DE ZIPRASIDONA;CLORIDRATO DE ZIPRASIDONA MONOIDRATADO;57507378000365 - EMS S/A;ANTIPSICOTICOS;102351095
CLORIDRATRO DE TRAZODONA;CLORIDRATO DE TRAZODONA;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ANTIDEPRESSIVOS;167730413
CLORITECAN;CLORIDRATO DE IRINOTECANO TRIIDRATADO;64171697000146 - ACCORD FARMACÊUTICA LTDA;ANTINEOPLASICO;155370056
CLOROQUINA DIFOSFATO;DIFOSFATO DE CLOROQUINA;33781055000135 - FUNDAÇÃO OSWALDO CRUZ;ANTIMALARICOS;110630094
CLORPROMAZ;CLORIDRATO DE CLORPROMAZINA;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;NEUROLEPTICOS;104970155
CLORTALIDONA;CLORTALIDONA;57507378000365 - EMS S/A;DIURETICOS SIMPLES;102350614
CLORTALIL;CLORTALIDONA;00923140000131 - EMS SIGMA PHARMA LTDA;DIURETICOS SIMPLES;135690691
CLOTREN;CLOTRIMAZOL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTIMICOTICOS PARA USO TOPICO;103700249
CLOTRIGEL;CLOTRIMAZOL;44363661000157 - GLENMARK FARMACÊUTICA LTDA;ANTIMICOTICOS PARA USO TOPICO;110130260
CLOTRIMAZOL;CLOTRIMAZOL;00394502007157 - LABORATÓRIO FARMACÊUTICO DA MARINHA;ANTIMICOTICOS PARA USO TOPICO;126250031
CLOTRIMAZOL + ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA + CLOTRIMAZOL;73856593000166 - PRATI DONADUZZI & CIA LTDA;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;125680096
CLOTRIMIX;CLOTRIMAZOL;33349473000158 - FARMOQUÍMICA S/A;ANTIMICOTICOS PARA USO TOPICO;103900217
CLOZAPINA;CLOZAPINA;10877926000113 - LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIG;NEUROLEPTICOS;101830148
CO-PRESSOTEC;HIDROCLOROTIAZIDA + MALEATO DE ENALAPRIL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTI-HIPERTENSIVOS;103700128
COAGADEX;FATOR X DE COAGULAÇÃO;03959540000195 - CHEMICALTECH IMPORTAÇÃO, EXPORTAÇÃO E COMÉRCIO DE PRODUTOS MÉDI;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;149320019
COALY;TICAGRELOR;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ANTIAGREGANTE PLAQUETARIO;167730613
COARTEM;LUMEFANTRINA + ARTEMÉTER;56994502000130 - NOVARTIS BIOCIENCIAS S.A;ANTIMALARICOS;100680103
COBAPETIT;CLORIDRATO DE CIPROEPTADINA + COBAMAMIDA;17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;ESTIMULANTES DO APETITE;115600070
COBAVITAL;CLORIDRATO DE CIPROEPTADINA + COBAMAMIDA;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;ESTIMULANTES DO APETITE;105530344
COCICHIMIL;COLCHICINA;92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;ANTINFLAMATORIOS ANTIREUMATICOS;118190109
COD;FOSFATO DE CODEÍNA;43312503000105 - SUPERA FARMA LABORATÓRIOS S.A;ANALGESICOS NARCOTICOS;103720285
COD PAR;FOSFATO DE CODEÍNA + PARACETAMOL;43312503000105 - SUPERA FARMA LABORATÓRIOS S.A;ANALGESICOS NARCOTICOS;103720284
CODATEN;DICLOFENACO SÓDICO + FOSFATO DE CODEÍNA;56994502000130 - NOVARTIS BIOCIENCIAS S.A;ANALGESICOS NARCOTICOS;100680898
CODEIN;FOSFATO DE CODEÍNA;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANALGESICOS NARCOTICOS;102980199
CODYLEX;FOSFATO DE CODEÍNA + PARACETAMOL;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ANALGESICOS NARCOTICOS;154230202
COGIT;BROMIDRATO DE GALANTAMINA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;109740280
COGLIVE;BROMIDRATO DE GALANTAMINA;61230314000175 - LIBBS FARMACÊUTICA LTDA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;100330181
COGNITUS;BACOPA MONNIERI (L.) WETTST.;78950011000120 - HERBARIUM LABORATORIO BOTANICO LTDA;FITOTERAPICO SIMPLES + OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;118600098
COGNIVA;HEMITARTARATO DE RIVASTIGMINA;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;102980499
COLCHICINA;COLCHICINA;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ANTIGOTOSOS;154230203
COLCHIN;COLCHICINA;33408105000133 - GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA;ANTINFLAMATORIOS ANTIREUMATICOS;120190075
COLCHIS;COLCHICINA;62462015000129 - APSEN FARMACEUTICA S/A;ANTIGOTOSOS;101180109
COLEDUE;EZETIMIBA;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANTILIPEMICOS;178170882
COLIAFT;TRIANCINOLONA ACETONIDA;57507378000365 - EMS S/A;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;102351225
COLIPAN;BUTIL BROMETO DE ESCOPOLAMINA;33408105000133 - GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS;120190029
COLIS-TEK;COLISTIMETATO DE SÓDIO;38909503000157 - OPEM REPRESENTAÇÃO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA;ANTIBIOTICOS SISTEMICOS SIMPLES;127480023
COLLECTRO;OXALIPLATINA;11643096000122 - MYLAN LABORATORIOS LTDA;ANTINEOPLASICO;188300061
COLOHALER;COLISTIMETATO DE SÓDIO;07591326000180 - MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA;ANTIBACTERIANO;164250001
COLPADAK;NITRATO DE MICONAZOL;18324343000177 - BELFAR LTDA;ANTIMICOTICO;105710019
COLPATRIN;METRONIDAZOL + NISTATINA;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;PRODUTOS GINECOLOGICOS ANTIINFECCIOSOS TOPICOS ASSOCIACAO MEDICAMENTOSA;103700007
COLPIST MT;BENZOILMETRONIDAZOL + CLORETO DE BENZALCÔNIO + NISTATINA;07670111000154 - ARESE PHARMA LTDA;PRODUTOS GINECOLOGICOS ANTIINFECCIOSOS TOPICOS ASSOCIACAO MEDICAMENTOSA;158190017
COLPISTAR;CLORETO DE BENZÂLCONIO + LISOZIMA + METRONIDAZOL + NISTATINA;33349473000158 - FARMOQUÍMICA S/A;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;103900059
COLPISTATIN;BENZOILMETRONIDAZOL + CLORETO DE BENZALCÔNIO + NISTATINA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;PRODUTOS GINECOLOGICOS TOPICOS;105730008
COLPOTROFINE;PROMESTRIENO;09058502000148 - FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA;ESTROGENOS SIMPLES;174650007
COLTRAX;TIOCOLCHICOSÍDEO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;RELAXANTES MUSCULARES CENTRAIS SIMPLES;183260378
COLTRAX INJ;TIOCOLCHICOSÍDEO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;RELAXANTES MUSCULARES CENTRAIS SIMPLES;183260384
COLTRIENO;PROMESTRIENO;17440261000125 - MYRALIS INDÚSTRIA FARMACÊUTICA LTDA;ESTROGENOS SIMPLES;114620007
COLUJET;TRIANCINOLONA ACETONIDA;02814497000107 - CIMED INDUSTRIA S.A;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;143810148
COLÍRIO DE CINERÁRIA MARÍTIMA ALMEIDA PRADO;CINERARIA MARITIMA D.C.;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS DE COMPONENTE ÚNICO;102660165
COLÍRIO DE EUPHRASIA OFFICINALIS ALMEIDA PRADO;EUPHRASIA OFFICINALIS L.;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS DE COMPONENTE ÚNICO;102660047
COLÍRIO GEOLAB;CLORIDRATO DE NAFAZOLINA + SULFATO DE ZINCO HEPTAIDRATADO;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;DESCONGESTIONATES OFTALMICOS;154230179
COLÍRIO LEGRAND;CLORIDRATO DE NAFAZOLINA + SULFATO DE ZINCO HEPTAIDRATADO;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;DESCONGESTIONATES OFTALMICOS;167730272
COLÍRIO MOURA BRASIL;CLORIDRATO DE NAFAZOLINA + SULFATO DE ZINCO HEPTAIDRATADO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;DESCONGESTIONATES OFTALMICOS;183260307
COLÍRIO NEO BRASIL;CLORIDRATO DE NAFAZOLINA + SULFATO DE ZINCO HEPTAIDRATADO;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;DESCONGESTIONATES OFTALMICOS;155840377
COLÍRIO TEUTO;CLORIDRATO DE NAFAZOLINA + SULFATO DE ZINCO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;103700113
COMBIGAN;MALEATO DE TIMOLOL + TARTARATO DE BRIMONIDINA;43426626000177 - ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;ANTIGLAUCOMATOSOS;101470188
COMBIRON;CIANOCOBALAMINA + DEXPANTENOL + NICOTINAMIDA + NITRATO DE TIAMINA + RIBOFLAVINA + GLICINATO FÉRRICO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS;105730373
COMBIRON FÓLICO;CIANOCOBALAMINA + CLORIDRATO DE PIRIDOXINA + NICOTINAMIDA + NITRATO DE TIAMINA + PANTOTENATO DE CÁLCIO + RIBOFLAVINA + FERROCARBONILA + ÁCIDO FÓLICO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS;105730367
COMBODART;CLORIDRATO DE TANSULOSINA + DUTASTERIDA;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;101070287
COMIRNATY;VACINA COVID-19;61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA;VACINAS;121100481
COMPAZ;DIAZEPAM;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANSIOLITICOS SIMPLES;102980008
COMPLE B;CLORIDRATO DE PIRIDOXINA + CLORIDRATO DE TIAMINA + NICOTINAMIDA + FOSFATO SÓDICO DE RIBOFLAVINA;02456955000183 - NATULAB LABORATÓRIO S.A;POLIVITAMINICOS SEM MINERAIS;138410051
COMPLEXO B;CLORIDRATO DE PIRIDOXINA + NICOTINAMIDA + NITRATO DE TIAMINA + PANTOTENATO DE CALCIO + RIBOFLAVINA;57507378000365 - EMS S/A;COMPLEXO VITAMÍNICO B (SOMENTE);102351340
COMPLEXO B 12;CIANOCOBALAMINA 0 + 1% + CLORIDRATO DE NICOTINAMIDA + CLORIDRATO DE PIRIDOXINA + NITRATO DE TIAMINA + PANTOTENATO DE CÁLCIO + RIBOFLAVINA;57507378000365 - EMS S/A;POLIVITAMINICOS SEM MINERAIS;102350242
COMPLEXO B 12 XPE;CIANOCOBALAMINA + CLORIDRATO DE PIRIDOXINA + CLORIDRATO DE TIAMINA + NICOTINAMIDA + PANTOTENATO DE CÁLCIO + FOSFATO SÓDICO DE RIBOFLAVINA;57507378000365 - EMS S/A;COMPLEXO VITAMÍNICO B (SOMENTE);102351341
COMPLEXO B MEDQUÍMICA;CLORIDRATO DE PIRIDOXINA + CLORIDRATO DE TIAMINA + DEXPANTENOL + NICOTINAMIDA + FOSFATO SÓDICO DE RIBOFLAVINA;17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;POLIVITAMINICOS SEM MINERAIS;109170072
COMPLEXO HOMEOPÁTICO AESCULUS ALMEIDA PRADO 20;AESCULUS HIPPOCASTANUM L. + CAPSICUM ANNUM L. + NUX VÔMICA + POLYGONUM PUNCTATUM H.LÉV + RATANHIA;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660172
COMPLEXO HOMEOPÁTICO ARSENICUM IODATUM ALMEIDA PRADO 34;ARSENICUM IODATUM + CAUSTICUM HAHNEMANNI + THYROIDINUM;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660007
COMPLEXO HOMEOPÁTICO BARYTA CARBONICA ALMEIDA PRADO 06;AGRAPHIS NUTANS + BARYTA CARBONICA + CALCIUM IODATUM + THUYA OCCIDENTALIS;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660032
COMPLEXO HOMEOPÁTICO BORAX ALMEIDA PRADO 43;BORAX + KALI CHLORICUM;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660066
COMPLEXO HOMEOPÁTICO CALCAREA PHOSPHORICA ALMEIDA PRADO 24;CALCAREA PHOSPHORICA + CHINA OFFICINALIS + IPECACUANHA + MATRICARIA CHAMOMILLA L.;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660063
COMPLEXO HOMEOPÁTICO CANTHARIS ALMEIDA PRADO 16;CANTHARIS VESICATORIA + THUYA OCCIDENTALIS;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS + OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;102660008
COMPLEXO HOMEOPÁTICO CAUSTICUM ALMEIDA PRADO 09;CAUSTICUM HAHNEMANNI + CONIUM MACULATUM + HEPAR SULFURIS + SPONGIA TOSTA;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660085
COMPLEXO HOMEOPÁTICO CHELIDONIUM ALMEIDA PRADO 11;BERBERIS VULGARIS L. + CARDUUS MARIANUS L. + CHELIDONIUM MAJUS + LYCOPODIUM CLAVATUM L.;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660135
COMPLEXO HOMEOPÁTICO COCCULUS ALMEIDA PRADO 38;COCCULUS INDICUS + KREOSOTUM + NOZ MOSCADA + PETROLEUM;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660076
COMPLEXO HOMEOPÁTICO GELSEMIUM ALMEIDA PRADO 5;ALLIUM SATIVUM L. + EUPATORIUM PERFOLIATUM L. + GELSEMIUM SEMPERVIRENS + NUX VÔMICA;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660065
COMPLEXO HOMEOPÁTICO HAMAMELIS ALMEIDA PRADO 21;CALCAREA FLUORICA + CLEMATIS VITALBA + HAMAMELIS VIRGINIANA L. + PULSATILLA NIGRICANS;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660038
COMPLEXO HOMEOPÁTICO HYDRASTIS ALMEIDA PRADO 3;HYDRASTIS CANADENSIS L. + KALI BICHROMICUM + MAGNESIA CARBONICA + PULSATILLA NIGRICANS;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660079
COMPLEXO HOMEOPÁTICO IGNATIA ALMEIDA PRADO 35;ABIES NIGRA + ASA FOETIDA + IGNATIA AMARA + PHOSPHORUS;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660160
COMPLEXO HOMEOPÁTICO IPECA ALMEIDA PRADO 10;ANTIMONIUM TARTARICUM + BRYONIA ALBA L. + CALCAREA IODATA + IPECACUANHA;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660035
COMPLEXO HOMEOPÁTICO IRIS ALMEIDA PRADO 1;CHIONANTHUS VIRGINICA + IRIS VERSICOLOR + SANGUINARIA CANADENSIS L.;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660031
COMPLEXO HOMEOPÁTICO LACHESIS ALMEIDA PRADO 28;ACTAEA RACEMOSA + LACHESIS MUTUS + SANGUINARIA CANADENSIS L. + SEPIA OFFICINALIS;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660153
COMPLEXO HOMEOPÁTICO LOBELIA ALMEIDA PRADO 49;ARSENICUM IODATUM + BLATTA ORIENTALIS + GRINDELIA + LOBELIA INFLATA + NATRUM SULPHURICUM;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660069
COMPLEXO HOMEOPÁTICO NUX VOMICA ALMEIDA PRADO 14;CHINA OFFICINALIS + GRAPHITES + NUX VÔMICA + SULPHUR;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660148
COMPLEXO HOMEOPÁTICO PHYTOLACCA ALMEIDA PRADO 48;BARYTA CARBONICA + PHYTOLACCA DECANDRA;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660064
COMPLEXO HOMEOPÁTICO SABADILLA ALMEIDA PRADO 4;ARSENICUM ALBUM + NATRUM MURIATICUM + SABADILLA;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660081
COMPLEXO HOMEOPÁTICO THUYA ALMEIDA PRADO 18;ACIDUM NITRICUM + CLEMATIS ERECTA + PULSATILLA NIGRICANS + THUYA OCCIDENTALIS;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660080
COMPLEXO PROTROMBINICO HUMANO LIOF;;02552927000160 - OCTAPHARMA BRASIL LTDA;SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO;139710005
COMPLEXO RHUS TOXICODENDRON ALMEIDA PRADO 32;BRYONIA ALBA L. + RHUS TOXICODENDRON L. + RUTA GRAVEOLENS L.;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;102660128
COMPLEXO SENNA ALMEIDA PRADO Nº 46;COMPLEMENTO + CÁSSIA SENNA + PICOSSULFATO DE SÓDIO + POLYGONUM PUNCTATUM H.LÉV;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;LAXANTES;102660051
COMTAN;ENTACAPONA;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;ANTIPARKINSONIANOS;100470633
CONACORT;CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;154230070
CONAZOL;CETOCONAZOL;46179008000168 - BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI;ANTIMICOTICOS PARA USO TOPICO;100380040
CONCERTA;CLORIDRATO DE METILFENIDATO;51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA;PSICOANALETICOS;112363357
CONCOR;HEMIFUMARATO DE BISOPROLOL;33069212000184 - MERCK S/A;BETABLOQUEADORES SIMPLES;100890194
CONCOR ANLO;BESILATO DE ANLODIPINO + HEMIFUMARATO DE BISOPROLOL;33069212000184 - MERCK S/A;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;100890413
CONCOR HCT;BISOPROLOL + HIDROCLOROTIAZIDA;33069212000184 - MERCK S/A;DIURETICOS ASSOCIADOS A BETABLOQUEADORES;100890372
CONCÁRDIO;HEMIFUMARATO DE BISOPROLOL;57507378000365 - EMS S/A;BETABLOQUEADORES SIMPLES;102351306
CONDROFLEX;CONDROITINA SULFATO DE SÓDIO + SULFATO DE GLICOSAMINA CLORETO DE SÓDIO;55980684000127 - ZODIAC PRODUTOS FARMACÊUTICOS S/A;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;122140069
CONDUVAZ;DIOSMINA + HESPERIDINA;09545589000188 - MABRA FARMACEUTICA LTDA;ANTIVARICOSOS DE ACAO SISTEMICA;177940034
CONFILIFY;ARIPIPRAZOL;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;ANTIPSICOTICOS;100470590
CONIDRIN 3%;CLORETO DE SÓDIO;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;DESCONGESTIONANTES NASAIS TOPICOS;104971383
CONMEL;DIPIRONA;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANALGESICOS NAO NARCOTICOS;178170064
CONSTRUFLOR;SACCHAROMYCES BOULARDII - 17;57507378000365 - EMS S/A;OUTROS COADJUVANTES DO TRATAMENTO DA DIARREIA;102351373
CONTHENC;ÁCIDO ASCÓRBICO;92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;MONOVITAMINAS EXCETO VITAMINA K;118190131
CONTRACEP;ACETATO DE MEDROXIPROGESTERONA;45992062000165 - GERMED FARMACEUTICA LTDA;PROGESTAGENOS SIMPLES;105830220
CONTRAVE;CLORIDRATO DE BUPROPIONA + CLORIDRATO DE NALTREXONA;33069212000184 - MERCK S/A;PREPARAÇÕES ANTIOBESIDADE, EXCLUINDO PRODUTOS DIETÉTICOS;100890415
CONVIVANCE;DIOSMINA + HESPERIDINA;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTIVARICOSOS DE ACAO SISTEMICA;183260404
COPAXONE;ACETATO DE GLATIRÂMER;05333542000108 - TEVA FARMACÊUTICA LTDA.;IMUNOMODULADOR;155730001
COQUES;CELECOXIBE;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ANTINFLAMATORIOS;100431223
COR-SELECT;BESILATO DE LEVANLODIPINO;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANTI-HIPERTENSIVOS SIMPLES;109740245
CORAMENT;BUDESONIDA;74232034000148 - LABORATÓRIOS FERRING LTDA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;128760023
CORATEZ;EZETIMIBA;00923140000131 - EMS SIGMA PHARMA LTDA;ANTILIPEMICOS;135690675
CORDAREX;BESILATO DE ANLODIPINO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTI-HIPERTENSIVOS SIMPLES;105730584
CORDIAFLAN;CORDIA VERBENACEA DC.;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTINFLAMATORIOS;105730634
CORDIL;CLORIDRATO DE DILTIAZEM;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTIANGINOSOS E VASODILATADORES;103700254
CORDIMAX;BESILATO DE AMLODIPINA;33349473000158 - FARMOQUÍMICA S/A;ANTI-HIPERTENSIVOS;103900117
COREG;CARVEDILOL;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;ANTI-HIPERTENSIVOS;101000643
CORISTINA D;CAFEÍNA + CLORIDRATO DE FENILEFRINA + MALEATO DE DEXCLORFENIRAMINA + ÁCIDO ACETIL SALICILICO;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE;178170797
CORISTINA D PRO;CLORIDRATO DE FENILEFRINA + MALEATO DE CLORFENIRAMINA + PARACETAMOL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE;178170919
CORISTINA DIA;CLORIDRATO DE FENILEFRINA + PARACETAMOL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANALGESICOS NAO NARCOTICOS;178170866
CORISTINA NOITE;CLORIDRATO DE FENILEFRINA + MALEATO DE CARBINOXAMINA + PARACETAMOL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;178170856
CORONAR;MONONITRATO DE ISOSSORBIDA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;VASODILATADORES;109740091
CORPORE;ORLISTATE;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ORLISTATE;100431295
