NOME_PRODUTO;PRINCIPIO_ATIVO;EMPRESA;CLASSE_TERAPEUTICA;NUMERO_REGISTRO
triancinolona acetonida + sulfato de neomicina + gramicidina + nistat;GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA + TRIANCINOLONA ACETONIDA;45992062000165 - GERMED FARMACEUTICA LTDA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;105830407
vacina adsorvida difteria, tétano e pertussis;ANATOXINA DIFTÉRICA + ANATOXINA TETÂNICA + ANTÍGENO PERTUSSIS;61821344000156 - INSTITUTO BUTANTAN;VACINAS;122340015
vacina adsorvida difteria, tétano, pertussis e Hemophilus influenza b;PERTUSSIS CELULAR + POLISSACARÍDEO DE HAEMOPHILUS INFLUENZAE TIPO B + TOXÓIDE TETÂNICO + TOXÓIDE DIFTÉRICO;33781055000135 - FUNDAÇÃO OSWALDO CRUZ;VACINAS;110630121
vacina febre amarela (atenuada);VÍRUS 17D DA FEBRE AMARELA;33781055000135 - FUNDAÇÃO OSWALDO CRUZ;VACINAS;110630002
vacina raiva(inativada);VACINA CONTRA RAIVA;61821344000156 - INSTITUTO BUTANTAN;VACINAS;122340048
vacina varicela (atenuada);VIRUS DA VARICELA;03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.;VACINAS;101710217
valerato de betametasona + sulfato de gentamicina + clioquinol + toln;CLIOQUINOL + SULFATO DE GENTAMICINA + TOLNAFTATO + VALERATO DE BETAMETASONA;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;126750227
valerato de betametasona + sulfato de getamicina + tolnaftato + clioq;CLIOQUINOL + SULFATO DE GENTAMICINA + TOLNAFTATO + VALERATO DE BETAMETASONA;57507378000365 - EMS S/A;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;102351179
valerato de estradiol;VALERATO DE ESTRADIOL MICRONIZADO;57507378000365 - EMS S/A;ESTROGENOS SIMPLES;102351287
valsartana + anlodipino;BESILATO DE ANLODIPINO + VALSARTANA;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;100470575
valsartana + besilato de anlodipino;BESILATO DE ANLODIPINO + VALSARTANA;45992062000165 - GERMED FARMACEUTICA LTDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;105830863
valsartana+hidroclorotiazida+besilato de anlodipino;BESILATO DE ANLODIPINO + HIDROCLOROTIAZIDA + VALSARTANA;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;100470583
varfarina sódica;VARFARINA SÓDICA;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ANTICOAGULANTES;104971323
venlafaxina;CLORIDRATO DE VENLAFAXINA;33173097000274 - CELLERA FARMACÊUTICA S.A.;ANTIDEPRESSIVOS;104400200
verazo;BORTEZOMIBE;61230314000175 - LIBBS FARMACÊUTICA LTDA;ANTINEOPLASICOS CITOTOXICOS;100330202
vildagliptina;VILDAGLIPTINA;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;ANTIDIABETICOS;100470605
vildagliptina + cloridrato de metformina;CLORIDRATO DE METFORMINA + VILDAGLIPTINA;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;ANTIDIABETICOS;100470606
ÁCIDO ASCÓRBICO HYPOFARMA;ÁCIDO ASCÓRBICO;17174657000178 - HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA;MONOVITAMINAS EXCETO VITAMINA K;103870065
ÁCIDO MEFENÂMICO;ÁCIDO MEFENÂMICO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTINFLAMATORIOS ANTIREUMATICOS;105730674
ÁCIDO TRANEXÂMICO;ÁCIDO TRANEXÂMICO;19570720000110 - HIPOLABOR FARMACEUTICA LTDA;ANTIFIBRINOLITICOS;113430186
ÁGUA ESTÉRIL BAXTER;ÁGUA PARA INJEÇÃO USP;49351786000261 - BAXTER HOSPITALAR LTDA;DILUENTES E VEICULOS DE MEDICAMENTOS;106830078
ÁGUA ESTÉRIL PARA INJETÁVEIS BEKER;ÁGUA PARA INJETÁVEIS;47231121000108 - BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA;DILUENTES E VEICULOS DE MEDICAMENTOS;103460007
ÁGUA PARA INJETAVÉIS;;58635830000175 - FARMARIN INDUSTRIA E COMERCIO LTDA;DILUENTES E VEICULOS DE MEDICAMENTOS;116880032
ÁGUA PARA INJETÁVEIS;ÁGUA PARA INJETÁVEIS;04459117000199 - SAMTEC BIOTECNOLOGIA LIMITADA;DILUENTES E VEICULOS DE MEDICAMENTOS;155920002
ÁGUA PARA INJETÁVEIS BASA;ÁGUA PARA INJETÁVEIS;88610555000104 - INDUSTRIA FARMACEUTICA BASA LTDA;DILUENTES E VEICULOS DE MEDICAMENTOS;107250291
ÁGUA PARA INJEÇÃO;ÁGUA PARA INJETÁVEIS;55972087000150 - JP INDUSTRIA FARMACEUTICA S/A;DILUENTES E VEICULOS DE MEDICAMENTOS;104910057
ÁGUA PARA INJEÇÃO B. BRAUN;ÁGUA PARA INJEÇÃO;31673254000102 - LABORATÓRIOS B. BRAUN S/A;DILUENTES E VEICULOS DE MEDICAMENTOS;100850117
ÁGUA PARA INJEÇÃO HYPOFARMA;ÁGUA PARA INJEÇÃO;17174657000178 - HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA;DILUENTES E VEICULOS DE MEDICAMENTOS;103870028
ÁPICE;PREGABALINA;43312503000105 - SUPERA FARMA LABORATÓRIOS S.A;ANTICONVULSIVANTES;103720298
ÁRIA;MONTELUCASTE DE SÓDIO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ANTIASMATICOS;100431400
ÁRTICO;SULFATO DE CONDROITINA + SULFATO DE GLICOSAMINA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;100431036
Ácido Fusídico;ÁCIDO FUSÍDICO;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ANTINFECCIOSOS TOPICOS;155840106
Ácido acetilsalicílico;ÁCIDO ACETILSALICÍLICO;17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;ANALGESICOS NAO NARCOTICOS;109170119
Água Bacteriostática;ÁLCOOL BENZÍLICO;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;DILUENTES E VEICULOS DE MEDICAMENTOS;102980522
Água para Irrigação;ÁGUA PARA INJETÁVEIS QSP;55972087000150 - JP INDUSTRIA FARMACEUTICA S/A;PRODUTOS PARA PROCEDIMENTOS ESPECIALIZADOS;104910069
Ártico Caps;SULFATO DE GLICOSAMINA + SULFATO DE GLICOSAMINA CLORETO DE SÓDIO + SULFATO DISSÓDICO DE CONDROITINA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;100431203
ÉGIDE;TOPIRAMATO;61230314000175 - LIBBS FARMACÊUTICA LTDA;ANTICONVULSIVANTES;100330158
ÉSIO;ESOMEPRAZOL SÓDICO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;100431061
ÓPERA;TOPIRAMATO;43312503000105 - SUPERA FARMA LABORATÓRIOS S.A;ANTICONVULSIVANTES;103720275
ácido fusídico + valerato de betametasona;VALERATO DE BETAMETASONA + ÁCIDO FUSÍDICO;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTIMICOTICOS PARA USO TOPICO;126750117
ácido ursodesoxicólico;ÁCIDO URSODESOXICÓLICO;73663650000190 - RANBAXY FARMACÊUTICA LTDA;COLAGOGOS, COLERETICOS E HEPATOPROTETORES;123520278
ácido zoledrônico;ÁCIDO ZOLEDRÔNICO + ÁCIDO ZOLEDRÔNICO MONOIDRATADO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ANTINEOPLASICO + SUPRESSORES DA REABSORCAO OSSEA;100431026
ácido zoledrônico monoidratado;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SUPRESSORES DA REABSORCAO OSSEA;102980566
ACTFIO;MINOXIDIL;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ANTIALOPECIA;155840621
BANXA;APIXABANA;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTITROMBOTICO;183260488
CLARISCAN;TETRAXETANO + ÁCIDO GADOTÉRICO;00029372000140 - GE HEALTHCARE DO BRASIL COMÉRCIO E SERVIÇOS PARA EQUIPAMENTOS M;CONTRASTES RADIOLOGICOS;183960004
